iati_identifier,transaction_number,title,date,transaction_type,finance_type,original_transaction_value,wb_sector_name,wb_sector_percentage,recipient_name,recipient_percentage,split_transaction_value
44000-P165017,7,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1258916.0,Gender,44.0,Rwanda,100.0,553923.04
44000-P165017,7,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1258916.0,Climate adaptation,37.0,Rwanda,100.0,465798.92
44000-P165017,7,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1258916.0,Climate mitigation,40.0,Rwanda,100.0,503566.4
44000-P165017,8,Second Rwanda Urban Development Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1618740.0,Climate change,77.0,Rwanda,100.0,1246429.8
44000-P165017,8,Second Rwanda Urban Development Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1618740.0,Gender,44.0,Rwanda,100.0,712245.6
44000-P165017,8,Second Rwanda Urban Development Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1618740.0,Climate adaptation,37.0,Rwanda,100.0,598933.8
44000-P165017,8,Second Rwanda Urban Development Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1618740.0,Climate mitigation,40.0,Rwanda,100.0,647496.0
44000-P165017,9,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1210502.0,Climate change,77.0,Rwanda,100.0,932086.54
44000-P165017,9,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1210502.0,Gender,44.0,Rwanda,100.0,532620.88
44000-P165017,9,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1210502.0,Climate adaptation,37.0,Rwanda,100.0,447885.74
44000-P165017,9,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1210502.0,Climate mitigation,40.0,Rwanda,100.0,484200.80000000005
44000-P165017,10,Second Rwanda Urban Development Project,2023-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,874057.0,Climate change,77.0,Rwanda,100.0,673023.89
44000-P165017,10,Second Rwanda Urban Development Project,2023-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,874057.0,Gender,44.0,Rwanda,100.0,384585.08
44000-P165017,10,Second Rwanda Urban Development Project,2023-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,874057.0,Climate adaptation,37.0,Rwanda,100.0,323401.08999999997
44000-P165017,10,Second Rwanda Urban Development Project,2023-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,874057.0,Climate mitigation,40.0,Rwanda,100.0,349622.80000000005
44000-P164130,11,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1873360.0,Climate change,25.0,Rwanda,100.0,468340.0
44000-P164130,11,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1873360.0,Climate mitigation,5.0,Rwanda,100.0,93668.0
44000-P164130,11,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1873360.0,Climate adaptation,20.0,Rwanda,100.0,374672.0
44000-P164130,11,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1873360.0,Gender,30.0,Rwanda,100.0,562008.0
44000-P112712,12,Second Emergency Demobilization and Reintegration Project,2015-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,41925.0,Gender,10.0,Rwanda,100.0,4192.5
44000-P165017,13,Second Rwanda Urban Development Project,2024-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1184835.0,Climate change,77.0,Rwanda,100.0,912322.9500000001
44000-P165017,13,Second Rwanda Urban Development Project,2024-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1184835.0,Gender,44.0,Rwanda,100.0,521327.4
44000-P165017,13,Second Rwanda Urban Development Project,2024-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1184835.0,Climate adaptation,37.0,Rwanda,100.0,438388.95
44000-P165017,13,Second Rwanda Urban Development Project,2024-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1184835.0,Climate mitigation,40.0,Rwanda,100.0,473934.0
44000-P164807,14,Rwanda Public Finance Management Reform Project,2020-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,261101.0,Gender,54.0,Rwanda,100.0,140994.54
44000-P175273,15,Access to Finance for Recovery and Resilience Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,127249.0,Gender,77.0,Rwanda,100.0,97981.73
44000-P175273,15,Access to Finance for Recovery and Resilience Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,127249.0,Climate change,6.0,Rwanda,100.0,7634.94
44000-P175273,15,Access to Finance for Recovery and Resilience Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,127249.0,Climate adaptation,6.0,Rwanda,100.0,7634.94
44000-P161876,16,Transformation of Agriculture Sector Program 4 Phase 2,2018-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,24505464.0,Climate mitigation,15.0,Rwanda,100.0,3675819.6
44000-P161876,16,Transformation of Agriculture Sector Program 4 Phase 2,2018-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,24505464.0,Climate adaptation,16.0,Rwanda,100.0,3920874.24
44000-P161876,16,Transformation of Agriculture Sector Program 4 Phase 2,2018-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,24505464.0,Climate change,31.0,Rwanda,100.0,7596693.84
44000-P112712,17,Second Emergency Demobilization and Reintegration Project,2013-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,419945.0,Gender,10.0,Rwanda,100.0,41994.5
44000-P172594,18,Rwanda - Energy Access and Quality Improvement Project,2023-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4600667.0,Climate change,38.0,Rwanda,100.0,1748253.46
44000-P172594,18,Rwanda - Energy Access and Quality Improvement Project,2023-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4600667.0,Climate mitigation,31.0,Rwanda,100.0,1426206.77
44000-P172594,18,Rwanda - Energy Access and Quality Improvement Project,2023-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4600667.0,Gender,63.0,Rwanda,100.0,2898420.21
44000-P172594,18,Rwanda - Energy Access and Quality Improvement Project,2023-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4600667.0,Climate adaptation,7.0,Rwanda,100.0,322046.69
44000-P178161,19,Volcanoes Community Resilience Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2000000.0,Climate change,46.0,Rwanda,100.0,920000.0
44000-P178161,19,Volcanoes Community Resilience Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2000000.0,Climate adaptation,31.0,Rwanda,100.0,620000.0
44000-P178161,19,Volcanoes Community Resilience Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2000000.0,Climate mitigation,15.0,Rwanda,100.0,300000.0
44000-P178161,19,Volcanoes Community Resilience Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2000000.0,Gender,33.0,Rwanda,100.0,660000.0
44000-P164130,20,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,952125.0,Climate change,25.0,Rwanda,100.0,238031.25
44000-P164130,20,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,952125.0,Climate mitigation,5.0,Rwanda,100.0,47606.25
44000-P164130,20,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,952125.0,Climate adaptation,20.0,Rwanda,100.0,190425.0
44000-P164130,20,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2024-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,952125.0,Gender,30.0,Rwanda,100.0,285637.5
44000-P171462,21,Commercialization and De-Risking for Agricultural Transformation Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1995207.0,Climate change,43.0,Rwanda,100.0,857939.01
44000-P171462,21,Commercialization and De-Risking for Agricultural Transformation Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1995207.0,Gender,87.0,Rwanda,100.0,1735830.09
44000-P171462,21,Commercialization and De-Risking for Agricultural Transformation Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1995207.0,Climate mitigation,13.0,Rwanda,100.0,259376.91
44000-P171462,21,Commercialization and De-Risking for Agricultural Transformation Project,2022-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1995207.0,Climate adaptation,30.0,Rwanda,100.0,598562.1
44000-P175273,22,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,215310.0,Gender,77.0,Rwanda,100.0,165788.7
44000-P175273,22,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,215310.0,Climate change,6.0,Rwanda,100.0,12918.6
44000-P175273,22,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,215310.0,Climate adaptation,6.0,Rwanda,100.0,12918.6
44000-P160488,23,"Lake Victoria Transport Program - SOP1, Rwanda",2022-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,632423.0,Climate change,10.0,Rwanda,100.0,63242.3
44000-P160488,23,"Lake Victoria Transport Program - SOP1, Rwanda",2022-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,632423.0,Climate adaptation,10.0,Rwanda,100.0,63242.3
44000-P112712,24,Second Emergency Demobilization and Reintegration Project,2011-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,519483.0,Gender,10.0,Rwanda,100.0,51948.3
44000-P160488,25,"Lake Victoria Transport Program - SOP1, Rwanda",2021-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1934216.0,Climate change,10.0,Rwanda,100.0,193421.6
44000-P160488,25,"Lake Victoria Transport Program - SOP1, Rwanda",2021-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1934216.0,Climate adaptation,10.0,Rwanda,100.0,193421.6
44000-P164130,26,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2023-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2521412.0,Climate change,25.0,Rwanda,100.0,630353.0
44000-P164130,26,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2023-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2521412.0,Climate mitigation,5.0,Rwanda,100.0,126070.6
44000-P164130,26,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2023-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2521412.0,Climate adaptation,20.0,Rwanda,100.0,504282.4
44000-P164130,26,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2023-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2521412.0,Gender,30.0,Rwanda,100.0,756423.6
44000-P165017,27,Second Rwanda Urban Development Project,2023-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1561101.0,Climate change,77.0,Rwanda,100.0,1202047.77
44000-P165017,27,Second Rwanda Urban Development Project,2023-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1561101.0,Gender,44.0,Rwanda,100.0,686884.4400000001
44000-P165017,27,Second Rwanda Urban Development Project,2023-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1561101.0,Climate adaptation,37.0,Rwanda,100.0,577607.37
44000-P165017,27,Second Rwanda Urban Development Project,2023-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1561101.0,Climate mitigation,40.0,Rwanda,100.0,624440.4
44000-P177492,28,Social Protection Transformation Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,15507731.0,Climate change,12.0,Rwanda,100.0,1860927.72
44000-P177492,28,Social Protection Transformation Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,15507731.0,Climate adaptation,12.0,Rwanda,100.0,1860927.72
44000-P177492,28,Social Protection Transformation Project,2023-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,15507731.0,Gender,22.0,Rwanda,100.0,3411700.82
44000-P175273,29,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,16572757.0,Gender,77.0,Rwanda,100.0,12761022.89
44000-P175273,29,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,16572757.0,Climate change,6.0,Rwanda,100.0,994365.4199999999
44000-P175273,29,Access to Finance for Recovery and Resilience Project,2022-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,16572757.0,Climate adaptation,6.0,Rwanda,100.0,994365.4199999999
44000-P165017,30,Second Rwanda Urban Development Project,2021-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2200000.0,Climate change,77.0,Rwanda,100.0,1694000.0
44000-P165017,30,Second Rwanda Urban Development Project,2021-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2200000.0,Gender,44.0,Rwanda,100.0,968000.0
44000-P165017,30,Second Rwanda Urban Development Project,2021-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2200000.0,Climate adaptation,37.0,Rwanda,100.0,814000.0
44000-P165017,30,Second Rwanda Urban Development Project,2021-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2200000.0,Climate mitigation,40.0,Rwanda,100.0,880000.0
44000-P162646,31,Strengthening Social Protection Project,2019-02-28T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,3039962.0,Climate mitigation,10.0,Rwanda,100.0,303996.2
44000-P162646,31,Strengthening Social Protection Project,2019-02-28T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,3039962.0,Climate adaptation,18.0,Rwanda,100.0,547193.16
44000-P162646,31,Strengthening Social Protection Project,2019-02-28T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,3039962.0,Climate change,28.0,Rwanda,100.0,851189.3600000001
44000-P162646,32,Strengthening Social Protection Project,2019-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,9069463.0,Climate mitigation,10.0,Rwanda,100.0,906946.3
44000-P162646,32,Strengthening Social Protection Project,2019-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,9069463.0,Climate adaptation,18.0,Rwanda,100.0,1632503.3399999999
44000-P162646,32,Strengthening Social Protection Project,2019-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,9069463.0,Climate change,28.0,Rwanda,100.0,2539449.64
44000-P112712,33,Second Emergency Demobilization and Reintegration Project,2013-11-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,251691.0,Gender,10.0,Rwanda,100.0,25169.100000000002
44000-P162646,34,Strengthening Social Protection Project,2021-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4672433.0,Climate mitigation,10.0,Rwanda,100.0,467243.30000000005
44000-P162646,34,Strengthening Social Protection Project,2021-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4672433.0,Climate adaptation,18.0,Rwanda,100.0,841037.94
44000-P162646,34,Strengthening Social Protection Project,2021-10-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,4672433.0,Climate change,28.0,Rwanda,100.0,1308281.2400000002
44000-P165017,35,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1627001.0,Climate change,77.0,Rwanda,100.0,1252790.77
44000-P165017,35,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1627001.0,Gender,44.0,Rwanda,100.0,715880.4400000001
44000-P165017,35,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1627001.0,Climate adaptation,37.0,Rwanda,100.0,601990.37
44000-P165017,35,Second Rwanda Urban Development Project,2022-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1627001.0,Climate mitigation,40.0,Rwanda,100.0,650800.4
44000-P148927,36,Transformation of Agriculture Sector Program Phase 3  PforR,2017-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,30833679.0,Climate mitigation,30.0,Rwanda,100.0,9250103.7
44000-P148927,36,Transformation of Agriculture Sector Program Phase 3  PforR,2017-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,30833679.0,Climate adaptation,30.0,Rwanda,100.0,9250103.7
44000-P148927,36,Transformation of Agriculture Sector Program Phase 3  PforR,2017-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,30833679.0,Climate change,60.0,Rwanda,100.0,18500207.4
44000-P168551,37,Rwanda Quality Basic Education for Human Capital Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,7985000.0,Gender,37.0,Rwanda,100.0,2954450.0
44000-P168551,37,Rwanda Quality Basic Education for Human Capital Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,7985000.0,Climate mitigation,5.0,Rwanda,100.0,399250.0
44000-P168551,37,Rwanda Quality Basic Education for Human Capital Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,7985000.0,Climate change,19.0,Rwanda,100.0,1517150.0
44000-P168551,37,Rwanda Quality Basic Education for Human Capital Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,7985000.0,Climate adaptation,15.0,Rwanda,100.0,1197750.0
44000-P175273,38,Access to Finance for Recovery and Resilience Project,2022-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1092912.0,Gender,77.0,Rwanda,100.0,841542.24
44000-P175273,38,Access to Finance for Recovery and Resilience Project,2022-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1092912.0,Climate change,6.0,Rwanda,100.0,65574.72
44000-P175273,38,Access to Finance for Recovery and Resilience Project,2022-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1092912.0,Climate adaptation,6.0,Rwanda,100.0,65574.72
44000-P165017,39,Second Rwanda Urban Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,383594.0,Climate change,77.0,Rwanda,100.0,295367.38
44000-P165017,39,Second Rwanda Urban Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,383594.0,Gender,44.0,Rwanda,100.0,168781.36000000002
44000-P165017,39,Second Rwanda Urban Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,383594.0,Climate adaptation,37.0,Rwanda,100.0,141929.78
44000-P165017,39,Second Rwanda Urban Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,383594.0,Climate mitigation,40.0,Rwanda,100.0,153437.6
44000-P126877,40,RW-Support to Social Protection System,2012-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,39524274.0,Climate change,14.0,Rwanda,100.0,5533398.36
44000-P126877,40,RW-Support to Social Protection System,2012-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,39524274.0,Climate adaptation,14.0,Rwanda,100.0,5533398.36
44000-P165017,41,Second Rwanda Urban Development Project,2022-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,931376.0,Climate change,77.0,Rwanda,100.0,717159.52
44000-P165017,41,Second Rwanda Urban Development Project,2022-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,931376.0,Gender,44.0,Rwanda,100.0,409805.44
44000-P165017,41,Second Rwanda Urban Development Project,2022-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,931376.0,Climate adaptation,37.0,Rwanda,100.0,344609.12
44000-P165017,41,Second Rwanda Urban Development Project,2022-08-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,931376.0,Climate mitigation,40.0,Rwanda,100.0,372550.4
44000-P162646,42,Strengthening Social Protection Project,2019-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11296678.0,Climate mitigation,10.0,Rwanda,100.0,1129667.8
44000-P162646,42,Strengthening Social Protection Project,2019-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11296678.0,Climate adaptation,18.0,Rwanda,100.0,2033402.04
44000-P162646,42,Strengthening Social Protection Project,2019-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11296678.0,Climate change,28.0,Rwanda,100.0,3163069.8400000003
44000-P160488,43,"Lake Victoria Transport Program - SOP1, Rwanda",2019-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2669992.0,Climate change,10.0,Rwanda,100.0,266999.2
44000-P160488,43,"Lake Victoria Transport Program - SOP1, Rwanda",2019-07-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2669992.0,Climate adaptation,10.0,Rwanda,100.0,266999.2
44000-P168551,44,Rwanda Quality Basic Education for Human Capital Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,494555.0,Gender,37.0,Rwanda,100.0,182985.35
44000-P168551,44,Rwanda Quality Basic Education for Human Capital Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,494555.0,Climate mitigation,5.0,Rwanda,100.0,24727.75
44000-P168551,44,Rwanda Quality Basic Education for Human Capital Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,494555.0,Climate change,19.0,Rwanda,100.0,93965.45
44000-P168551,44,Rwanda Quality Basic Education for Human Capital Development Project,2024-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,494555.0,Climate adaptation,15.0,Rwanda,100.0,74183.25
44000-P148927,45,Transformation of Agriculture Sector Program Phase 3  PforR,2016-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,23785083.0,Climate mitigation,30.0,Rwanda,100.0,7135524.899999999
44000-P148927,45,Transformation of Agriculture Sector Program Phase 3  PforR,2016-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,23785083.0,Climate adaptation,30.0,Rwanda,100.0,7135524.899999999
44000-P148927,45,Transformation of Agriculture Sector Program Phase 3  PforR,2016-09-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,23785083.0,Climate change,60.0,Rwanda,100.0,14271049.799999999
44000-P168551,46,Rwanda Quality Basic Education for Human Capital Development Project,2023-11-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5229305.0,Gender,37.0,Rwanda,100.0,1934842.85
44000-P168551,46,Rwanda Quality Basic Education for Human Capital Development Project,2023-11-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5229305.0,Climate mitigation,5.0,Rwanda,100.0,261465.25
44000-P168551,46,Rwanda Quality Basic Education for Human Capital Development Project,2023-11-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5229305.0,Climate change,19.0,Rwanda,100.0,993567.95
44000-P168551,46,Rwanda Quality Basic Education for Human Capital Development Project,2023-11-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5229305.0,Climate adaptation,15.0,Rwanda,100.0,784395.75
44000-P112712,47,Second Emergency Demobilization and Reintegration Project,2017-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,221436.0,Gender,10.0,Rwanda,100.0,22143.600000000002
44000-P165017,48,Second Rwanda Urban Development Project,2023-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2360815.0,Climate change,77.0,Rwanda,100.0,1817827.55
44000-P165017,48,Second Rwanda Urban Development Project,2023-12-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,2360815.0,Gender,44.0,Rwanda,100.0,1038758.6
