unique_id,text,climate_adaptation,climate_mitigation
2014080017|2014|Wildlife conservation|0.002498|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sidamo lark,0,0
2014080018|2014|Wildlife conservation|0.009993|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Singidia tilapia,0,0
2014080019|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Niger Delta red colobus,0,0
2014080020|2014|Wildlife conservation|0.012481|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Townsend's Shearwater,0,0
2014080021|2014|Wildlife conservation|0.011864|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Amboli Bush Frog,0,0
2014080022|2014|Wildlife conservation|0.019777|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: New World monkeys,0,0
2014080024|2014|Wildlife conservation|0.001782|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Indochinese silvered langur,0,0
2014080025|2014|Wildlife conservation|0.011914|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Hump-backed mahseer,0,0
2014080026|2014|Wildlife conservation|0.006987|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Menzbir's Marmot,0,0
2014080027|2014|Wildlife conservation|0.007992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Hazodrangola,0,0
2014080048|2014|Wildlife conservation|0.008898|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: White Spotted Bush Frog,0,0
2014080049|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Indian Narrow-headed Soft-shell Turtle,0,0
2014080050|2014|Wildlife conservation|0.006151|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Fishing cat,0,0
2014080051|2014|Wildlife conservation|0.007495|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Daudin's Sea Snake,0,0
2014080052|2014|Wildlife conservation|0.007913|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Rhinacanthus selousensis,0,0
2014080053|2014|Wildlife conservation|0.004996|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Robbin's house bat,0,0
2014080054|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Geometric tortoise,0,0
2014080055|2014|Wildlife conservation|0.004947|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Eastern chimpanzee,0,0
2014080002|2014|Wildlife conservation|0.019976|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Golden Mantella,0,0
2014080003|2014|Wildlife conservation|0.012362|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Floreana Mockingbird (also Charles' Mockingbird),0,0
2014080004|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Spoon-billed Sandpiper in China,0,0
2014080005|2014|Wildlife conservation|0.00849|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Frost's alligator lizard,0,0
2014080006|2014|Wildlife conservation|0.011984|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Carbonera Pupfish,0,0
2014080007|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Assam Roof Turtle,0,0
2014080073|2014|Wildlife conservation|0.004947|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ghana Giant Squeaker Frog,0,0
2014080074|2014|Wildlife conservation|0.012481|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Bonobo,0,0
2014080076|2014|Wildlife conservation|0.002001|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Bleeding Toad,0,0
2014080077|2014|Wildlife conservation|0.011984|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Bornean Pygmy Elephant,0,0
2014080078|2014|Wildlife conservation|0.007992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Alindanaw,0,0
2014080079|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sumatran Surili,0,0
2014080080|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Mentawai Langur,0,0
2014080081|2014|Wildlife conservation|0.012481|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Black lion tamarin,0,0
2014080082|2014|Wildlife conservation|0.009485|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Kihansi wild coffee,0,0
2014080083|2014|Wildlife conservation|0.002498|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ethiopian Short-headed Frog,0,0
2014080084|2014|Wildlife conservation|0.009485|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Largetooth Sawfish,0,0
2014080085|2014|Wildlife conservation|0.005932|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Variable Bush Frog,0,0
2014080086|2014|Wildlife conservation|0.013984|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Tongan Megapode,0,0
2014080087|2014|Wildlife conservation|0.008898|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: largetooth sawfish,0,0
2014080104|2014|Wildlife conservation|0.004996|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Northern Sportive Lemur,0,0
2014080105|2014|Wildlife conservation|0.005992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Neumann's black-and-white colobus monkey,0,0
2014080106|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Alagoas Antwren,0,0
2014080107|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Palkachupa Cotinga,0,0
2014080109|2014|Wildlife conservation|0.004698|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ophelia's Pixie,0,0
2014080110|2014|Wildlife conservation|0.007495|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Red-shanked douc,0,0
2014080111|2014|Wildlife conservation|0.012481|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Burmese star tortoise,0,0
2014080114|2014|Wildlife conservation|0.009794|41030,"Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sierra Leone Skimmer, Data Deficient",0,0
2014080115|2014|Wildlife conservation|0.009893|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: River Terrapin,0,0
2014080116|2014|Wildlife conservation|0.002468|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Burrowing scorpion,0,0
2014080117|2014|Wildlife conservation|0.009993|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Antiguan Racer,0,0
2014080118|2014|Wildlife conservation|0.010988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ploughshare Tortoise,0,0
2014080119|2014|Wildlife conservation|0.002468|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sociable Lapwing (plover),0,0
2014080121|2014|Wildlife conservation|0.019976|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Jackson's Mushroomtongue Salamander,0,0
2014250049|2014|Wildlife conservation|0.348071|41030,Wildlife conservation WILDLIFE CONSERVATION Contribution to the general budget to support the conservation of Africa's wildlife and wild lands,0,0
2012030013|2014|Wildlife conservation|0.69672|41030,Wildlife conservation WILDLIFE CONSERVATION Wildlife conservation,0,0
2011030005|2014|Janub thermal power plant project|23260,Janub thermal power plant project JANUB THERMAL POWER PLANT PROJECT Janub thermal power plant project,0,2
2011030009|2014|Wind Power Stations|2.697302|23240,Wind Power Stations WIND POWER STATIONS development of windpower stations in Seychelles,0,2
2009030013|2014|the small Dams project in Samandini|14040,the small Dams project in Samandini THE SMALL DAMS PROJECT IN SAMANDINI the small Dams project in Samandini,1,0
2009030059|2014|Samendeni Dam project|2.007967|23220,Samendeni Dam project SAMENDENI DAM PROJECT Smendini dam project. The project consists of construction of a dam at 17 m height can be increased to 22 meters and a length of 2760 meters to store approximately 550 million cubic meters of water can be increased to 1050 million cubic meters. To generat,1,0
2009030060|2014|Timkit dam|1.894163|31140,Timkit dam TIMKIT DAM Timkit Province Dam project. Construction of a dam up to 56 meters to hold about 136 thousand cubic meters and a capacity to fill up to approximately 14 million cubic meters of water.,1,0
2009030076|2014|Has'san dam|0.557376|31140,"Has'san dam HAS'SAN DAM Construction of the Has'san dam [MICAD: The dam is one of the key strategic projects that will boost agricultural production from cereals, fruits, vegetables, fodder and animal wealth and help the country meet local market demand and increase Yemen's expo",1,0
2013030018|2014|Water Resources projects (Dams)|5.852449|31140,"Water Resources projects (Dams) WATER RESOURCES PROJECTS (DAMS) The project aims to support the Jordanian economy and fulfilling the increasing demand on water for drinking, irrigation and industry through providing new water resources, such as building dams for collecting the superficial water and storing it.",1,0
2013030020|2014|Renewable energy projects|1.064987|23210,Renewable energy projects RENEWABLE ENERGY PROJECTS Renewable energy projects,2,0
2014080001|2014|Wildlife conservation|0.014979|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: African golden cat,0,0
2014080008|2014|Wildlife conservation|0.007943|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Greenback Parrotfish,0,0
2014080009|2014|Wildlife conservation|0.019976|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: common morel,0,0
2014080010|2014|Wildlife conservation|0.002349|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Carrizal Seedeater,0,0
2014080011|2014|Wildlife conservation|0.013845|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Esenbeckia vazquezii,0,0
2014080029|2014|Wildlife conservation|0.011984|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Southern-central black rhino,0,0
2014080030|2014|Wildlife conservation|0.009993|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Indri,0,0
2014080031|2014|Wildlife conservation|0.014342|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Fishing Cat,0,0
2014080032|2014|Wildlife conservation|0.009993|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Blue-eyed black lemur,0,0
2014080033|2014|Wildlife conservation|0.004499|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sumatran Mountain Maxomys,0,0
2014080034|2014|Wildlife conservation|0.004847|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Charles Darwin's frog,0,0
2014080035|2014|Wildlife conservation|0.005992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Cat Ba langur,0,0
2014080036|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ganges River Dolphin,0,0
2014080038|2014|Wildlife conservation|0.004996|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Black forest dragonfly,0,0
2014080041|2014|Wildlife conservation|0.004996|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Greater big-footed mouse,0,0
2014080042|2014|Wildlife conservation|0.005992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Iran Blind Cave Barb,0,0
2014080043|2014|Wildlife conservation|0.004051|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Javan slow loris,0,0
2014080044|2014|Wildlife conservation|0.007992|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Freshwater snail,0,0
2014080045|2014|Wildlife conservation|0.002498|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Shimba Hills reed frog,0,0
2014080047|2014|Wildlife conservation|0.012362|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Cuban solenodon,0,0
2014080056|2014|Wildlife conservation|0.006489|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Yellow-tailed woolly monkey,0,0
2014080057|2014|Wildlife conservation|0.006987|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Black-winged Starling,0,0
2014080058|2014|Wildlife conservation|0.014979|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Gal?pagos land snail,0,0
2014080059|2014|Wildlife conservation|0.006489|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Sierra curlytail lizard,0,0
2014080061|2014|Wildlife conservation|0.007206|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Manumea or toothbilled pigeon,0,0
2014080063|2014|Wildlife conservation|0.007495|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Clouded leopard,0,0
2014080064|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Latifi's Viper,0,0
2014080065|2014|Wildlife conservation|0.009993|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Okapi,0,0
2014080066|2014|Wildlife conservation|0.006489|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Cotton-top tamarin,0,0
2014080067|2014|Wildlife conservation|0.012989|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Ziyuan Fir,0,0
2014080068|2014|Wildlife conservation|0.004598|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Kordofan giraffe,0,0
2014080069|2014|Wildlife conservation|0.006997|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Hispid hare,0,0
2014080070|2014|Wildlife conservation|0.009893|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Spotted Greenshank,0,0
2014080072|2014|Wildlife conservation|0.004947|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Persian leopard,0,0
2014080088|2014|Wildlife conservation|0.007146|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Pinstripe Damba,0,0
2014080089|2014|Wildlife conservation|0.003931|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Chittar Mahogany Mayfly,0,0
2014080090|2014|Wildlife conservation|0.003991|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Crowned river turtle,0,0
2014080092|2014|Wildlife conservation|0.015985|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Andean cat,0,0
2014080093|2014|Wildlife conservation|0.011984|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Black rhinoceros,0,0
2014080094|2014|Wildlife conservation|0.005494|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Thick shelled river mussel,0,0
2014080095|2014|Wildlife conservation|0.009485|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Armenian Whiskered Bat,0,0
2014080097|2014|Wildlife conservation|0.011486|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Black-shanked douc langur,0,0
2014080098|2014|Wildlife conservation|0.002498|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Green Peafowl,0,0
2014080099|2014|Wildlife conservation|0.003951|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: African Penguin,0,0
2014080101|2014|Wildlife conservation|0.024972|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Mangrove finch/Pinzon de Manglar,0,0
2014080102|2014|Wildlife conservation|0.006489|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Rusty spotted cat,0,0
2014080103|2014|Wildlife conservation|0.006489|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Smith's Tiger Spider,0,0
2014250051|2014|Wildlife conservation|1.166877|41030,Wildlife conservation WILDLIFE CONSERVATION Contribution to IUCN's projects budget under the framework agreement to support innovative initiatives and programmes that could not be funded through regular project funding channels. MICAD: Assuming that it is in line with the projects above.,0,0
2014250053|2014|Wildlife conservation|0.504017|41030,Wildlife conservation WILDLIFE CONSERVATION Framework support for implementing the strategic plan of the Species Survival Commission (SSC) to address the extinction crisis and massive loss of biodiversity throughout the world.,0,0
2014250055|2014|Wildlife conservation|0.094844|41030,Wildlife conservation WILDLIFE CONSERVATION Contribution to the budget of the Species Survival Commission (SSC) of the IUCN,0,0
2014250057|2014|Biosphere Protection|0.348071|41020,Biosphere Protection BIOSPHERE PROTECTION Financial support to the researches of the international think tank working to advance sustainability through use of the Ecological Footprint.,0,0
2014250059|2014|Wildlife conservation|1.301722|41030,"Wildlife conservation WILDLIFE CONSERVATION Contributions to support the Memorandum of Understanding on the conservation of migratory birds of prey in Africa and Eurasia, and the Memorandum of Understanding on the conservation and management of Dugongs and their habitats.",0,0
2014250061|2014|Wildlife conservation|0.891155|41030,"Wildlife conservation WILDLIFE CONSERVATION EAD being the competent government entity entrusted with protecting and conserving the environment and wildlife, and being conscious that scimitar-horned oryx were exterminated during the early 1980s as a result of civil war in Chad, and totally extinct i",0,0
2014250063|2014|Wildlife conservation|0.229062|41030,Wildlife conservation WILDLIFE CONSERVATION The purpose of this Agreement is to implement the largest reintroduction of captive-bred ungulates ever undertaken with the goal of restoring the Scimitar-Horned Oryx to its historical range in the Ouadi Rim̩-Ouadi Achim Game Reserve in Central Chad. The,0,0
2014250065|2014|Wildlife conservation|0.706753|41030,"Wildlife conservation WILDLIFE CONSERVATION The International Wildlife Consultants (IWC) specialises in the breeding and hacking of falcons and operates a commercial stud for breeding pedigree falcons. They have considerable skill, knowledge, and experience in that field to conduct scientific resea",0,0
"2013100013|2015|Power supply and distribution to the areas, villages, and communities|43.535582|23630","Power supply and distribution to the areas, villages, and communities POWER SUPPLY AND DISTRIBUTION TO THE AREAS, VILLAGES, AND COMMUNITIES Power supply and distribution to the areas, villages, and communities that are not linked to the electricity grid -  targeting 70 villages and 159 power distribution station",0,1
2015030047|2015|Renewable Energy for Housing and Public Utilities|23210,Renewable Energy for Housing and Public Utilities RENEWABLE ENERGY FOR HOUSING AND PUBLIC UTILITIES Renewable Energy for Housing and Public Utilities,2,0
2015030024|2015|Hyprid Renewable Energy systems for rural electrfication in 30 Villages|23210,"Hyprid Renewable Energy systems for rural electrfication in 30 Villages HYPRID RENEWABLE ENERGY SYSTEMS FOR RURAL ELECTRFICATION IN 30 VILLAGES Supplying of silicon photovoltaic glass panels, its installation, modification and operation of 30 stations and link them to the distribution network, The project also includes urabn, electrical and mechanical activities that is required for the plant to operate and maintain the operation.",2,0
2015030025|2015|Small Scale Waste to Energy Project|23210,"Small Scale Waste to Energy Project SMALL SCALE WASTE TO ENERGY PROJECT The project consists of constructing a power plant that produces electricity by waste incineration that does not harm the environment. The project also includes the urban, electricial and mechanical activities.",2,0
2011030018|2015|Hydro-Electric Power Plants|3.658574|23220,Hydro-Electric Power Plants HYDRO-ELECTRIC POWER PLANTS Construction of Shikalbaha 225 MW dual Fuel (Gas and Fo) Combined CYCI,1,0
2009030059|2015|Samendeni Dam project|1.513169|23220,Samendeni Dam project SAMENDENI DAM PROJECT Smendini dam project. The project consists of construction of a dam at 17 m height can be increased to 22 meters and a length of 2760 meters to store approximately 550 million cubic meters of water can be increased to 1050 million cubic meters. To generate electricity and for irrgations,1,0
2009030003|2015|Andekaleka Electrical power|23220,Andekaleka Electrical power ANDEKALEKA ELECTRICAL POWER Andekaleka Electrical power,1,0
2009030038|2015|Taishir Hydropower Project|23220,Taishir Hydropower Project TAISHIR HYDROPOWER PROJECT Taishir Hydropower Project,1,0
2015030026|2015|The 10 MWP Grid Concentrater Solar PV Project|23230,The 10 MWP Grid Concentrater Solar PV Project THE 10 MWP GRID CONCENTRATER SOLAR PV PROJECT The constuction of 4 solar power plants.,0,2
2015030052|2015|Solar Energy Projects|23230,Solar Energy Projects SOLAR ENERGY PROJECTS Solar energy projects,0,2
2013030018|2015|Irrigation resources - Jordan|10.43339|31140,"Irrigation resources - Jordan IRRIGATION RESOURCES - JORDAN Dams projects. The project iams to support the Jordanian economy and fulfilling the increasing demand on water for drinking, irrigation and industry through providing new water resources, such as building dams for collecting the superficial water and stor",1,0
2013030017|2015|rehablitation of irrigation projects|7.748003|31140,rehablitation of irrigation projects REHABLITATION OF IRRIGATION PROJECTS rehablitation of irrigation projects,1,0
2009030076|2015|Has'san Dam - Yemen|0.07704|31140,"Has'san Dam - Yemen HAS'SAN DAM - YEMEN Construction of the Has'san dam [MICAD: The dam is one of the key strategic projects that will boost agricultural production from cereals, fruits, vegetables, fodder and animal wealth and help the country meet local market demand and increase Yemen's expo",1,0
2009030024|2015|Integrated Southern Ghurs development|31140,Integrated Southern Ghurs development INTEGRATED SOUTHERN GHURS DEVELOPMENT Integrated Southern Ghurs development,1,0
2009030023|2015|Yarmok Valley development|31140,Yarmok Valley development YARMOK VALLEY DEVELOPMENT Yarmok Valley development,1,0
2015080016|2015|Bio-Diversity|0.003718|41030,Bio-Diversity BIO-DIVERSITY Forest Owlet,0,0
2015080074|2015|Bio-Diversity|0.003314|41030,Bio-Diversity BIO-DIVERSITY Cave Sqeaker,0,0
2015080098|2015|Bio-Diversity|0.003314|41030,Bio-Diversity BIO-DIVERSITY Rana Parvaccola,0,0
2015080152|2015|Bio-Diversity|0.003299|41030,Bio-Diversity BIO-DIVERSITY Escalle,0,0
2015080081|2015|Bio-Diversity|0.010936|41030,Bio-Diversity BIO-DIVERSITY Mahe Boulder Cricket,0,0
2015080124|2015|Bio-Diversity|0.033137|41030,Bio-Diversity BIO-DIVERSITY Lemurs,0,0
2015080075|2015|Bio-Diversity|0.022091|41030,Bio-Diversity BIO-DIVERSITY Melicope Sulcata,0,0
2015080151|2015|Bio-Diversity|0.021993|41030,Bio-Diversity BIO-DIVERSITY White-backed Vulture,0,0
2015080063|2015|Bio-Diversity|0.021869|41030,Bio-Diversity BIO-DIVERSITY Old World Monkeys,0,0
2015080080|2015|Bio-Diversity|0.020778|41030,Bio-Diversity BIO-DIVERSITY Nigerian kola,0,0
2015080119|2015|Bio-Diversity|0.017676|41030,Bio-Diversity BIO-DIVERSITY Sri Lanka Red Crab,0,0
2015080047|2015|Bio-Diversity|0.017673|41030,Bio-Diversity BIO-DIVERSITY Makira Moorhen,0,0
2015080001|2015|Bio-Diversity|0.016569|41030,Bio-Diversity BIO-DIVERSITY Acamthodesmos distichus,0,0
2015080025|2015|Bio-Diversity|0.016569|41030,Bio-Diversity BIO-DIVERSITY African Zebrawood,0,0
2015080144|2015|Bio-Diversity|0.013526|41030,Bio-Diversity BIO-DIVERSITY Fishing Cat,0,0
2015080017|2015|Bio-Diversity|0.013397|41030,Bio-Diversity BIO-DIVERSITY White-rumped vulture,0,0
2015080014|2015|Bio-Diversity|0.013255|41030,Bio-Diversity BIO-DIVERSITY European sea sturgeon,0,0
2015080178|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Luida Stream Toad,0,0
2015080143|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Geometric Tortoise,0,0
2015080172|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Pinus cernua,0,0
2015080136|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Yuanbaoshan fir,0,0
2015080177|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Chinese pangolin,0,0
2015080157|2015|Bio-Diversity|0.013196|41030,Bio-Diversity BIO-DIVERSITY Chinese Pangolin,0,0
2015080032|2015|Bio-Diversity|0.013123|41030,Bio-Diversity BIO-DIVERSITY West African chimpanzee,0,0
2015080094|2015|Bio-Diversity|0.013123|41030,Bio-Diversity BIO-DIVERSITY Sanje Mangabey,0,0
2015080096|2015|Bio-Diversity|0.013123|41030,Bio-Diversity BIO-DIVERSITY Wayanad Dancing Frog,0,0
2015080067|2015|Bio-Diversity|0.013121|41030,Bio-Diversity BIO-DIVERSITY Margaritifera morocana,0,0
2015080028|2015|Bio-Diversity|0.012427|41030,Bio-Diversity BIO-DIVERSITY Home's hingeback tortoise,0,0
2015080097|2015|Bio-Diversity|0.011046|41030,Bio-Diversity BIO-DIVERSITY Geoffreys Side-necked Turtle,0,0
2015080166|2015|Bio-Diversity|0.010997|41030,Bio-Diversity BIO-DIVERSITY Javan slow loris,0,0
2015080163|2015|Bio-Diversity|0.010997|41030,Bio-Diversity BIO-DIVERSITY Victoria tilapia,0,0
2015080181|2015|Bio-Diversity|0.010997|41030,Bio-Diversity BIO-DIVERSITY Tortuella abietifolia,0,0
2015080162|2015|Bio-Diversity|0.010997|41030,Bio-Diversity BIO-DIVERSITY Utila Spiny-tailed Iguana,0,0
2015080059|2015|Bio-Diversity|0.010936|41030,Bio-Diversity BIO-DIVERSITY espino de costa,0,0
2015080040|2015|Bio-Diversity|0.010936|41030,Bio-Diversity BIO-DIVERSITY Black Seahorse,0,0
2015080092|2015|Bio-Diversity|0.010936|41030,Bio-Diversity BIO-DIVERSITY Hispid hare,0,0
2015080029|2015|Bio-Diversity|0.010389|41030,Bio-Diversity BIO-DIVERSITY Persian leopard,0,0
2015080123|2015|Bio-Diversity|0.010389|41030,Bio-Diversity BIO-DIVERSITY Plain Mountain Adder,0,0
2015080019|2015|Bio-Diversity|0.010231|41030,Bio-Diversity BIO-DIVERSITY Freshwater mussels,0,0
2015080115|2015|Bio-Diversity|0.009941|41030,Bio-Diversity BIO-DIVERSITY William's South American side-necked Turtle,0,0
2015080110|2015|Bio-Diversity|0.009941|41030,Bio-Diversity BIO-DIVERSITY Bizarre-nosed Chameleon,0,0
2015080052|2015|Bio-Diversity|0.007732|41030,Bio-Diversity BIO-DIVERSITY Chacoan Peccary,0,0
